Fecha del pedido,País,Total,Ganancia
02/10/2018,México,130.8,45.6
16/10/2016,Colombia,2521.6,907.2
16/10/2016,Colombia,1932.8,540.8
16/10/2016,Colombia,354.4,49.6
16/10/2016,Colombia,716,114.4
16/10/2016,Colombia,561.2,213.2
28/09/2017,Brasil,561.2,213.2
28/09/2017,Brasil,3446.4,1654.2
28/09/2017,Brasil,973.6,194.4
28/09/2017,Brasil,3415.2,136.4
28/09/2017,Brasil,120.6,34.8
06/03/2017,Nicaragua,207.6,95.4
06/03/2017,Nicaragua,2106.4,504.8
24/09/2018,Nicaragua,801,376.2
18/10/2018,Brasil,1326.4,357.6
18/10/2018,Brasil,129.4,10.2
27/06/2017,Panamá,188.4,-66
27/06/2017,Panamá,3082.8,-1491
27/06/2017,Panamá,401.76,-60.64
27/06/2017,Panamá,87.84,-48.36
20/12/2017,México,2734.72,957.12
30/10/2017,Chile,270,59.4
30/10/2017,Chile,2070,662.4
03/10/2018,Panamá,606.6,-202.2
27/09/2016,México,1811.16,-755.64
18/06/2018,México,3261.8632,647.0632
18/06/2018,México,800,344
25/05/2017,Honduras,1412.88,-730.52
25/05/2017,Honduras,218.4,-32.8
25/05/2017,Honduras,1148.16,-498.24
25/05/2017,Honduras,192.72,28.72
25/05/2017,Honduras,1522.8,-990.2
25/05/2017,Honduras,9417.7824,-6017.4176
25/05/2017,Honduras,104.16,-7.04
15/05/2018,México,3007.2,1290.8
15/05/2018,México,1381.8,537.6
15/05/2018,México,908,317.6
04/07/2018,Cuba,5293.2,2646.6
04/07/2018,Cuba,3336,1067.2
04/07/2018,Cuba,427.2,4
09/12/2018,República Dominicana,624,85.8
18/06/2017,México,3460.8,1556.8
29/10/2018,México,4140,455.2
29/10/2018,México,7223.6,505.6
29/10/2018,México,563.4,39
17/01/2018,Brasil,1689.6,405
28/04/2016,República Dominicana,1254.4,-0.6
28/04/2016,República Dominicana,1534.0752,361.2752
13/06/2015,Brasil,267.6,74.8
06/05/2018,Colombia,449,85
14/10/2015,México,668.8,287.2
03/04/2015,Honduras,2306.7252,-856.4748
03/04/2015,Honduras,1724.3928,-34.8072
03/04/2015,Honduras,6834.96,-797.64
03/04/2015,Honduras,277.2,41.2
01/06/2017,República Dominicana,218.4,30
01/06/2017,República Dominicana,2005.44,-133.76
18/05/2015,México,21245,4886
25/08/2015,Panamá,227.16,-117.84
12/10/2017,Brasil,3913.2,1447.2
22/10/2015,México,635.4,209.6
16/05/2018,Brasil,8752.2,1399.8
27/08/2016,Honduras,4376.88,-2480.52
14/03/2018,México,686,267.2
14/03/2018,México,487,175
06/11/2016,Honduras,1321.08,-924.92
01/06/2015,Cuba,179.6,57.2
01/06/2015,Cuba,6356.262,2661.262
24/07/2017,Colombia,8746.8,4110.6
24/07/2017,Colombia,759.6,379.2
12/09/2018,Brasil,9282.56,-812.24
24/02/2015,República Dominicana,1074.48,-1217.92
18/02/2016,México,285,122.4
18/02/2016,México,980,205
18/02/2016,México,89.6,39.2
18/02/2016,México,1357,312
25/06/2018,Perú,185.28,-83.52
25/06/2018,Perú,1587.6,158.4
25/06/2018,Perú,1217.16,-20.44
14/06/2015,Panamá,227.88,-7.92
14/06/2015,Panamá,3230.64,-1240.96
14/06/2015,Panamá,1375.2,-229.2
14/06/2015,Panamá,395.4,-198.6
26/06/2017,México,2639.2,52.4
26/06/2017,México,1443,360
23/01/2018,México,367.2,102.6
18/06/2018,México,769.6,99.2
18/06/2018,México,390.24,-19.76
29/12/2016,México,1426.8,327.6
29/12/2016,México,5820,2182.2
29/12/2016,México,419.4,0
29/12/2016,México,2550,918
24/04/2017,México,589,153
24/04/2017,México,883,88
24/04/2017,México,176.8,22.8
20/04/2015,Brasil,5759.6,1208.2
20/04/2015,Brasil,553.6,16.4
22/10/2015,Nicaragua,960,48
09/08/2017,República Dominicana,923.04,-35.16
09/08/2017,República Dominicana,849.6,-54
14/12/2017,Guatemala,4946.4,1978.2
05/12/2017,Cuba,394,51
05/11/2017,México,2445.6,-275.4
05/11/2017,México,164.8,22.8
01/12/2017,México,56.8,22.6
11/10/2016,México,2665.44,66.24
28/09/2015,República Dominicana,772.8,-10.2
08/06/2018,Argentina,160.8,-53.6
08/06/2018,Argentina,111.72,-1.88
05/09/2017,México,481.6,134.8
15/08/2018,México,4650,279
09/11/2016,Guatemala,461,101
17/09/2017,Argentina,669.48,-167.72
17/09/2017,Argentina,652.32,85.32
17/09/2017,Argentina,4092.6,204.6
25/02/2018,República Dominicana,277.6,13.6
28/11/2018,Brasil,4619,1016
15/08/2017,Colombia,10521.6,0
15/08/2017,Colombia,1846.6,331.8
15/08/2017,Colombia,336,97.2
15/03/2016,Honduras,1019.4,-527.6
20/03/2016,Venezuela,731.04,-12.96
30/12/2015,Haití,2731.2,-956
30/12/2015,Haití,1059.6,-1271.6
04/06/2018,Brasil,1451,638
04/06/2018,Brasil,1918.5552,745.7552
04/06/2018,Brasil,1992,636.8
04/06/2018,Brasil,1912,382.4
04/06/2018,Brasil,1078.2,517.2
04/01/2015,Cuba,1857.6,36
25/12/2018,México,474,222.6
15/11/2017,México,9664,-967
29/09/2018,República Dominicana,141.44,-12.56
29/09/2018,República Dominicana,55.52,-7.68
29/10/2018,Argentina,133.2,4.2
29/10/2018,Argentina,3732.84,497.64
29/10/2018,Argentina,55.98,-130.62
11/03/2016,Panamá,818.16,-14.84
24/05/2015,México,4646.4,1718.4
16/10/2017,Brasil,3478.8,1217.4
16/10/2017,Brasil,290.4,19.8
07/05/2016,México,3490.2056,657.4056
07/05/2016,México,234.6,93.6
07/05/2016,México,706.4,70.4
09/06/2015,República Dominicana,1795.2,403.8
09/06/2015,República Dominicana,178.56,-27.04
22/07/2016,Honduras,2182.08,-1273.12
22/07/2016,Honduras,67.68,-20.32
22/07/2016,Honduras,4227.6208,-1781.9792
22/07/2016,Honduras,573.84,57.24
20/10/2017,Cuba,1957.8,97.8
20/10/2017,Cuba,193,71
20/10/2017,Cuba,1931,791
07/07/2016,República Dominicana,807.36,-111.24
15/07/2015,Brasil,1030.8,267.6
09/11/2016,Nicaragua,587,93
09/11/2016,Nicaragua,1050.6,367.2
04/11/2016,México,370,36.8
04/11/2016,México,136.2,64.8
18/12/2018,Cuba,1684,33
18/12/2018,Cuba,1526.4,350.4
12/07/2016,Cuba,2552.2,994
12/07/2016,Cuba,2104.8,757.2
24/07/2018,Venezuela,3629.52,-605.28
24/11/2016,México,8369.28,2301.28
01/08/2016,El Salvador,3263,163
01/08/2016,El Salvador,2776,27
21/11/2017,República Dominicana,308.16,96.16
27/12/2017,Argentina,105.12,-28.08
07/12/2017,México,7314.24,1188.24
22/07/2015,Nicaragua,6508.8,324.8
23/03/2017,México,107.2,44.8
23/03/2017,México,3425.136,610.736
23/03/2017,México,469.8,98.6
23/03/2017,México,562,151.6
19/11/2017,El Salvador,1659,199
19/11/2017,El Salvador,128,49.6
19/11/2017,El Salvador,1190.4,10.8
25/06/2017,Cuba,4948,1138
25/06/2017,Cuba,11115.6,2000.4
25/06/2017,Cuba,3704,554
25/06/2017,Cuba,3942,906.6
25/06/2017,Cuba,144,32.8
13/11/2016,Haití,613.8,-379.2
16/10/2018,República Dominicana,1418.88,194.88
21/12/2017,Colombia,743.4,178.2
21/12/2017,Colombia,1215.8,158
21/12/2017,Colombia,1596.8,700.8
21/12/2017,Colombia,14803.68,3330.48
21/12/2017,Colombia,9829.12,-122.88
21/12/2017,Colombia,3467.4,1005
21/12/2017,Colombia,197.4,96.6
19/11/2018,México,583,151
16/02/2016,Colombia,1297.6,428
25/07/2016,Panamá,52.44,-24.56
02/07/2018,México,892.48,66.88
30/11/2015,Panamá,66,-6.8
30/11/2015,Panamá,1018.08,-493.92
16/11/2017,República Dominicana,164.16,-12.84
16/11/2017,República Dominicana,633.6,14.4
16/11/2017,República Dominicana,93.76,27.76
16/11/2017,República Dominicana,334.4,-46.6
09/10/2018,México,2567.4,0
02/12/2018,México,1188,568.8
20/09/2017,Venezuela,801.12,93.12
20/09/2017,Venezuela,1073.04,-644.16
20/09/2017,Venezuela,302.4,-5.6
01/04/2018,Argentina,677.76,-440.64
01/04/2018,Argentina,635.04,-1461.36
01/04/2018,Argentina,240.24,31.84
01/04/2018,Argentina,23.16,-25.64
01/04/2018,Argentina,81.84,-20.56
01/04/2018,Argentina,1985.28,-232.32
17/06/2015,República Dominicana,7382.88,-1661.52
28/10/2018,Brasil,86,36
29/12/2015,República Dominicana,880.96,-143.44
29/12/2015,República Dominicana,2769.12,-105.48
29/12/2015,República Dominicana,1107.2,-235.8
29/12/2015,República Dominicana,5382.4,-1076.8
29/12/2015,República Dominicana,16966.4,-1484.6
05/12/2016,México,1420.8,70.4
05/12/2016,México,8180.8,81.6
05/12/2016,México,177.6,1.2
05/12/2016,México,7231.2,867.6
05/12/2016,México,1232,319.2
05/12/2016,México,5199.3804,2177.1804
09/12/2015,México,6883.2,0
23/12/2018,El Salvador,867,355
07/10/2018,Nicaragua,3985.2,1912.8
21/07/2018,México,298.8,134.4
21/07/2018,México,634.8,304.4
21/07/2018,México,12190.4,1980.4
21/07/2018,México,1763.8652,261.4652
21/07/2018,México,2290.56,85.56
29/05/2017,El Salvador,1130.4,406.8
29/05/2017,El Salvador,504,40.2
07/05/2018,Nicaragua,5495.2,1098.8
15/09/2016,México,22783.2,7518
04/04/2017,México,10989.6,2334.6
04/04/2017,México,589.8,253.2
26/02/2015,Cuba,1773.6,549.6
26/02/2015,Cuba,519.6,186.6
26/02/2015,Cuba,3602.4,1044.6
26/02/2015,Cuba,550.4,16.4
12/03/2018,El Salvador,222,93
12/03/2018,El Salvador,440,35.2
17/08/2015,Cuba,2261.2,972
