SUM([nb_comments]+[likes])/COUNT([image_url]);Number of Records;Created Time;Filter;Image URL;latitude;Number of likes;Link;Location;longitude;number of Comments;Tags;Text;Username
1938;1;20/03/2018 12:17:49 a.m.;Normal;https://scontent.cdninstagram.com/vp/df109b82ea667ccc80b555658bcea7ed/5B2AD523/t51.2885-15/s320x320/e35/28765450_780831562116380_626681993874112512_n.jpg;0;1910;https://www.instagram.com/p/Bghk2jChbuc/;;0;28;leonisa;¡Nuevos enterizos! La nueva colección Swimwear Limited Edition ya está disponible en nuestras tiendas y tienda online... Son unidades limitadas. #leonisa;leonisa
2417;1;18/03/2018 1:41:53 a.m.;Normal;https://scontent.cdninstagram.com/vp/78dd9c04ef8e35c49c74ff03c036d625/5B48A850/t51.2885-15/s320x320/e35/29096305_344632402697791_5382651142188564480_n.jpg;0;2395;https://www.instagram.com/p/Bgck4iyheLm/;;0;22;leonisa;"¿Bikini o enterizo? Desliza para ver cuál es tu favorito. 
Nueva colección Limited Edition disponible por poco tiempo en nuestras tiendas y tienda online. #leonisa";leonisa
471;1;17/03/2018 1:35:14 a.m.;Normal;https://scontent.cdninstagram.com/vp/69befae3ce7fbeef07800ed46e564b18/5AB3A299/t51.2885-15/s320x320/e15/28436438_2016268915300659_5212108539304083456_n.jpg;0;465;https://www.instagram.com/p/BgZ-_WVhE62/;;0;6;leonisa;¿Cuál es tu próximo destino? Prepárate para las vacaciones, acércate a nuestras tiendas y encuentra el look Swimwear perfecto. #leonisa;leonisa
565;1;16/03/2018 1:34:38 a.m.;Normal;https://scontent.cdninstagram.com/vp/d9d860eff410c961330f27a92c1ace93/5AB3676D/t51.2885-15/s320x320/e15/28763037_1681149185255420_1325536390556942336_n.jpg;0;558;https://www.instagram.com/p/BgXaC3Phikd/;;0;7;;"New Limited Edition Collection! 
Una colección Swimwear espectacular que estará poco tiempo en nuestras tiendas y tienda online, descubre tus favoritos.";leonisa
1185;1;15/03/2018 1:30:44 a.m.;Normal;https://scontent.cdninstagram.com/vp/50857557133a70da5ef2555bfe11eb81/5B4AAED8/t51.2885-15/s320x320/e35/28751687_832690286917418_2136869740134531072_n.jpg;0;1164;https://www.instagram.com/p/BgU1OQZhnyc/;;0;21;leonisa;"Los enterizos son la última tendencia para el verano ¿Qué mejor que uno edición limitada? 
Enamórate de todos en nuestras tiendas Leo usa y tienda Online. #leonisa";leonisa
1190;1;14/03/2018 1:29:14 a.m.;Normal;https://scontent.cdninstagram.com/vp/8c1dea83847fc0809b984a48af6a5571/5B3421BB/t51.2885-15/s320x320/e35/28753042_2012919179031440_3314355137664778240_n.jpg;0;1182;https://www.instagram.com/p/BgSQQZthmFw/;;0;8;leonisa;"Exclusive Swimsuits ✨
Para los días de sol donde quieres verte increíble. 
Nueva colección Swimwear Limited Edition disponible en nuestras tiendas Leonisa y tienda Online. #leonisa";leonisa
1057;1;13/03/2018 1:30:42 a.m.;Normal;https://scontent.cdninstagram.com/vp/2e4eb179a7f221ec3432d1b99418a3e4/5B323A62/t51.2885-15/s320x320/e35/28766241_1784335605209411_6924776750593343488_n.jpg;0;1043;https://www.instagram.com/p/BgProPQhz56/;;0;14;leonisa;¡Llegó el momento de brillar!  La nueva colección Limited Edition te encantará. Descúbrela ahora en nuestras tiendas Leonisa y tienda Online. ¡Son unidades limitadas! #leonisa;leonisa
693;1;10/03/2018 11:59:59 p.m.;Normal;https://scontent.cdninstagram.com/vp/73780c2aca8ac0d139551b7720f95277/5B4464C2/t51.2885-15/s320x320/e35/28428564_180812232705828_8332280491755438080_n.jpg;0;625;https://www.instagram.com/p/BgKXqDihLGd/;;0;68;leonisa;Menciona a tu amiga que parece que tuviera una bola de cristal, porque siempre sabe lo que va a pasar. #leonisa;leonisa
188;1;9/03/2018 7:20:29 p.m.;Normal;https://scontent.cdninstagram.com/vp/76fb6d9c8d47af7ee224eb6e349f8abf/5AB33ECD/t51.2885-15/s320x320/e15/28433759_2089252871308603_5562128226236497920_n.jpg;0;185;https://www.instagram.com/p/BgHSrbtBluc/;;0;3;leonisa;Somos mujeres, una fiesta de sentimientos. Una maravillosa mezcla de sensaciones... Somos Mil Mujeres en Una. #leonisa;leonisa
1919;1;8/03/2018 5:15:44 p.m.;Normal;https://scontent.cdninstagram.com/vp/5a81763838ea8dfa6eec5b94f16757a9/5B2D76BF/t51.2885-15/s320x320/e35/28427116_542994909419863_8296543129742344192_n.jpg;0;1786;https://www.instagram.com/p/BgEfzeIh5oG/;;0;133;leonisa;"Menciona a tu amiga “mamá” que siempre se preocupa por ti. 
Celebremos hoy que somos mejores amigas, novias, madres, esposas, profesionales... somos mil mujeres en una. #leonisa";leonisa
384;1;8/03/2018 2:53:09 a.m.;Normal;https://scontent.cdninstagram.com/vp/678a3a4cde2c144dca17dff1bbdd6c77/5AB354E1/t51.2885-15/s320x320/e15/28754009_740871176112522_5741423650347679744_n.jpg;0;380;https://www.instagram.com/p/BgC3JbrB_37/;;0;4;;"¡Una mujer puedes ser todo lo que quiera! Es más, podemos ser mil mujeres en una. 
Feliz Día Para Todas";leonisa
1406;1;7/03/2018 8:15:15 p.m.;Normal;https://scontent.cdninstagram.com/vp/7a9399cd4bdcfb7c6fd5df48ac8f89e3/5B3D9E47/t51.2885-15/s320x320/e35/28435271_818688318332000_3485267580183117824_n.jpg;0;1286;https://www.instagram.com/p/BgCPjgNBivr/;;0;120;;Celebremos las mujeres de nuestra vida... Menciona esa amiga que siempre está para escucharte.;leonisa
1043;1;7/03/2018 1:09:18 a.m.;Normal;https://scontent.cdninstagram.com/vp/4f33d721a33bc34cb269f63119d745d7/5B4F1DCE/t51.2885-15/s320x320/e35/28427208_1743211379106014_8281176458311761920_n.jpg;0;1040;https://www.instagram.com/p/BgAMaSChgMI/;;0;3;;Esta semana está llena de razones para celebrar nuestra razón de ser, las mujeres. Porque somos mil mujeres en una.;leonisa
636;1;6/03/2018 1:22:22 a.m.;Normal;https://scontent.cdninstagram.com/vp/7f247e0d11f7e15d386c66025074e0c9/5B4B7595/t51.2885-15/s320x320/e35/28158801_155237118508296_7448336347762262016_n.jpg;0;632;https://www.instagram.com/p/Bf9pHF3Byc-/;;0;4;leonisa;"Tropical Vibes 🍍 Se acercan las vacaciones ¿Estás lista?

Descubre la nueva colección de vestidos de baño en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa";leonisa
653;1;5/03/2018 2:20:44 a.m.;Normal;https://scontent.cdninstagram.com/vp/40a64b9ac8b23b6859d5136e9204678b/5B2A12E8/t51.2885-15/s320x320/e35/28751552_344811459364073_4730485926231277568_n.jpg;0;647;https://www.instagram.com/p/Bf7K_wfBNSd/;;0;6;leonisa;"• Golden Summer • Brilla en tus vacaciones con un nuevo bikini. 
Conoce la última colección Swimwear en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa";leonisa
911;1;4/03/2018 1:43:41 a.m.;Normal;https://scontent.cdninstagram.com/vp/1681b49d236334cbb6168640c2d9660c/5B47F4AB/t51.2885-15/s320x320/e35/28429419_161794174535022_4196451775705776128_n.jpg;0;903;https://www.instagram.com/p/Bf4h9fwhlFS/;;0;8;leonisa;"Scape to paradise 🌴
Nueva colección Swimwear en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa";leonisa
929;1;3/03/2018 1:44:07 a.m.;Normal;https://scontent.cdninstagram.com/vp/9614f6ae835f22c7b69ea9a1d7e9b821/5B347E3F/t51.2885-15/s320x320/e35/28427097_1506038776171950_2221056832917471232_n.jpg;0;921;https://www.instagram.com/p/Bf19Ntfh5WZ/;;0;8;leonisa;"Are you ready for the summer? Prepárate para las vacaciones con nuestra nueva colección de vestidos de baño. 
Hay uno perfecto para ti en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa";leonisa
1384;1;2/03/2018 1:54:15 a.m.;Normal;https://scontent.cdninstagram.com/vp/197c74d1a91d6b6b6686c6424965ec93/5B37181E/t51.2885-15/s320x320/e35/28434483_159531558038683_2563435476677558272_n.jpg;0;1368;https://www.instagram.com/p/BfzZlFDhp8K/;;0;16;leonisa;"Los mejores días, son los días de sol... Vive el verano con un nuevo look Swimwear.

Nuevos bikinis y enterizos en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa";leonisa
846;1;1/03/2018 1:27:13 a.m.;Normal;https://scontent.cdninstagram.com/vp/5c87b5d0200b8b35344c29248de17771/5B2E60C7/t51.2885-15/s320x320/e35/28430327_2107821365894572_2219548908554551296_n.jpg;0;838;https://www.instagram.com/p/BfwxsL_h_HN/;;0;8;;¡Porque sabemos que te encanta! La nueva colección Swimwear está lista para ti... Conócela en nuestro catálogo, tiendas Leonisa y tienda Online.;leonisa
